用例编号,所属项目,所属模块,相关需求,用例标题,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
908,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_已缴定金_手动考勤_阶段考通过_缴清学费_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴定金
交费金额：800
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
10.进入财务管理-学院缴费页面
选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴定金
交费金额：800
缴费方式：支付宝 
11.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
12.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
13.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
14.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评成功
9.转就业成功 
10.缴费成功
11.技术面试通过
12.模拟面试通过
13.面试通过
14.就业成功",,,1,功能测试,,正常,0,0,0,,李鹏,2020/5/14,,0000-00-00,1,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_就业流程_已缴清_手动考勤_阶段考通过_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
10.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
11.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
12.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
13.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评成功
9.转就业成功
10.技术面试通过
11.模拟面试通过
12.面试通过
13.就业成功",,,,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_就业流程_未缴清_手动考勤_阶段考通过_缴清学费_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：未缴清
交费金额：200
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
10.进入财务管理-学院缴费页面
选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴定金
交费金额：800
缴费方式：支付宝 
11.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
12.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
13.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
14.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评成功
9.转就业成功 
10.缴费成功
11.技术面试通过
12.模拟面试通过
13.面试通过
14.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_就业流程_已缴定金_批量考勤_阶段考通过_缴清学费_面试不通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴定金
交费金额：800
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：批量考勤正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
10.进入财务管理-学院缴费页面
选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴定金
交费金额：800
缴费方式：支付宝 
11.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：不通过
12.继续技术面试，其中面试结果：通过
13.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
14.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
15.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评成功
9.转就业成功
10.缴费成功
11.技术面试不通过
12.技术面试通过
13.模拟面试通过
14.面试通过
15.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_就业流程_已缴清_手动考勤_阶段考降级_退费退学,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段，降级：班级B
9.选中资源A，对其进行缴费，其中
班级：D
缴费状态：已退费
退费金额：1000
缴费方式：支付宝 ","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评降级
9.退费成功
",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_迟到_阶段考_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：迟到
7.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
9.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
10.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
11.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
12.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤迟到
7.测评成功
8.转就业成功
9.技术面试通过
10.模拟面试通过
11.面试通过
12.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_面试_晨考_阶段考_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：面试
7.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
9.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
10.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
11.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
12.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤面试
7.测评成功
8.转就业成功
9.技术面试通过
10.模拟面试通过
11.面试通过
12.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_旷课_阶段考_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：旷课
7.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：否，项目实战阶段，转就业：是
9.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
10.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
11.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
12.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤旷课
7.测评成功
8.转就业失败，转就业成功
9.技术面试通过
10.模拟面试通过
11.面试通过
12.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_考勤_随堂笔试_阶段考_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂笔试
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
10.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
11.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
12.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
13.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评成功
9.转就业成功
10.技术面试通过
11.模拟面试通过
12.面试通过
13.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_考勤_晨考_公共基础阶段_降级,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂笔试
8.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段，降级：班级B
","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.测评降级
",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_考勤_分班_阶段考_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：正常
7.进入学员管理-今日晨考页面，查询资源A，对其晨考，其中晨考方式：随堂
8..进入学员管理-班级管理页面，查询资源A，对其分班，班级：D
9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
10.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
11.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
12.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
13.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
14.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.考勤成功
7.晨考成功
8.分班成功
9.测评成功
10.转就业成功
11.技术面试通过
12.模拟面试通过
13.面试通过
14.就业成功",,,1,功能测试,,正常,,,,,,,,,,
,woniuboss2.5_yang(#4),/流程(#64),,WB2.5_已报名_全缴_请假_阶段考_面试通过_就业,"1.进入财务管理-学院缴费页面
2.选中资源A，对其进行缴费，其中
班级：B
缴费状态：已缴清
缴费方式：支付宝 
3.进入学员管理-基本信息页面，查看资源A
4.进入学员管理-课程安排页面，对班级B进行排课，其中
讲师：C
方向：公共
开始时间：T
结束时间：T+1
5.进入学员管理-基本信息页面，修改资源A状态为在校学习
6.进入学员管理-学员请假页面，新增请假

7.进入学员管理-今日考勤页面，查询资源A，对其考勤，其中考勤操作：请假
8.进入学员管理-学员请假页面，销假

9.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：公共基础阶段
10.进入学员管理-阶段测评页面，查询资源A，对其测评，其中测评阶段：项目实战阶段，转就业：是
11.进入就业管理-技术面试页面，查询资源A，对其进行面试，其中面试结果：通过
12.进入就业管理-模拟面试页面，查询资源A，对其进行模拟面试，其中沟通能力：优
13.进入就业管理-真实面试页面，查询资源A，真实面试，其中公司：培训机构
14.进入就业管理-入职情况页面，查询资源A，入职情况，其中公司：培训机构","1.进入成功
2.缴费成功
3.存在资源A，状态为未开班
4.排课成功
5.状态为在校学习
6.请假成功
7.考勤：请假
8.销假成功
9.测评成功
10.转就业成功
11.技术面试通过
12.模拟面试通过
13.面试通过
14.就业成功",,,1,功能测试,,正常,,,,,,,,,,
